City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
0,Tiruchchendur,IN,8.48,78.12,81.25,71,100,12.66,moderate rain,1.2,0
1,Yellowknife,CA,62.46,-114.35,64.4,45,40,5.82,scattered clouds,0.0,0
2,College,US,64.86,-147.8,57.99,76,90,2.42,overcast clouds,0.0,0
3,Bulawayo,ZW,-20.15,28.58,55.13,62,48,14.74,scattered clouds,0.0,0
4,Ushuaia,AR,-54.8,-68.3,41.0,75,40,8.05,scattered clouds,0.0,0
5,Sterling,US,39.01,-77.43,91.99,36,1,3.36,clear sky,0.0,0
6,Katsuura,JP,35.13,140.3,75.2,100,75,10.29,mist,0.0,0
7,Punta Arenas,CL,-53.15,-70.92,32.0,91,75,5.82,broken clouds,0.0,0
8,Hobart,AU,-42.88,147.33,37.4,86,20,8.05,few clouds,0.0,0
9,Barrow,US,71.29,-156.79,44.6,70,1,16.11,clear sky,0.0,0
10,Puerto Ayora,EC,-0.74,-90.35,71.01,89,89,5.01,overcast clouds,0.0,0
11,Trelew,AR,-43.25,-65.31,47.35,52,0,15.5,clear sky,0.0,0
12,Werder,DE,52.38,12.93,61.0,84,88,5.39,overcast clouds,0.0,0
13,Codrington,AU,-38.27,141.97,40.21,91,0,8.66,clear sky,0.0,0
14,Bredasdorp,ZA,-34.53,20.04,46.4,87,100,1.12,overcast clouds,0.0,0
15,Castro,BR,-24.79,-50.01,57.97,93,100,6.93,overcast clouds,0.0,0
16,Jamestown,US,42.1,-79.24,80.6,74,90,5.82,light rain,0.76,0
17,Mairana,BO,-18.12,-63.93,56.3,79,56,4.36,broken clouds,0.0,0
18,Oriximina,BR,-1.77,-55.87,85.06,68,54,3.22,broken clouds,0.0,0
19,New Norfolk,AU,-42.78,147.06,35.01,93,26,2.62,scattered clouds,0.0,0
20,Atuona,PF,-9.8,-139.03,79.54,77,7,13.65,clear sky,0.0,0
21,Kodiak,US,57.79,-152.41,60.8,63,90,6.93,overcast clouds,0.0,0
22,Moriyama,JP,35.07,135.98,73.99,97,100,1.39,light rain,0.75,0
23,Clyde River,CA,70.47,-68.59,37.4,93,90,6.93,overcast clouds,0.0,0
24,Olafsvik,IS,64.89,-23.71,49.03,72,9,13.27,clear sky,0.0,0
25,Busselton,AU,-33.65,115.33,43.0,88,91,6.51,overcast clouds,0.0,0
26,Antofagasta,CL,-23.65,-70.4,60.8,72,0,9.17,clear sky,0.0,0
27,Kapaa,US,22.08,-159.32,82.4,65,75,14.99,broken clouds,0.0,0
28,Saskylakh,RU,71.92,114.08,55.44,70,33,11.18,scattered clouds,0.0,0
29,Palmer,US,42.16,-72.33,82.4,65,75,12.75,broken clouds,0.0,0
30,Vardo,NO,70.37,31.11,46.4,100,75,11.41,light intensity shower rain,0.0,0
31,Rikitea,PF,-23.12,-134.97,67.71,63,12,18.77,few clouds,0.0,0
32,Laguna,US,38.42,-121.42,93.99,24,1,5.55,clear sky,0.0,0
33,Mahebourg,MU,-20.41,57.7,71.6,60,75,12.75,broken clouds,0.0,0
34,Xiaoweizhai,CN,26.19,107.51,71.37,94,100,2.51,light rain,0.39,0
35,Kitimat,CA,54.05,-128.65,62.6,63,90,10.29,overcast clouds,0.0,0
36,Severo-Kurilsk,RU,50.68,156.12,48.02,92,100,16.17,light rain,0.18,0
37,Sinnamary,GF,5.38,-52.95,80.15,79,27,6.38,scattered clouds,0.0,0
38,Santa Lucia,ES,27.91,-15.54,82.4,42,0,23.04,clear sky,0.0,0
39,Lagoa,PT,39.05,-27.98,68.97,81,95,7.65,overcast clouds,0.0,0
40,Qaanaaq,GL,77.48,-69.36,47.01,54,0,2.42,clear sky,0.0,0
41,Ribeira Grande,PT,38.52,-28.7,69.8,73,75,5.82,broken clouds,0.0,0
42,Tiksi,RU,71.69,128.87,35.01,95,100,6.6,overcast clouds,0.0,0
43,Gat,IL,31.61,34.76,80.01,72,0,6.31,clear sky,0.0,0
44,Butaritari,KI,3.07,172.79,83.12,77,9,17.76,clear sky,0.0,0
45,Georgetown,MY,5.41,100.34,78.8,88,20,3.36,few clouds,0.0,0
46,Mataura,NZ,-46.19,168.86,39.0,83,84,3.0,broken clouds,0.0,0
47,Goundam,ML,16.41,-3.67,100.99,16,32,10.69,scattered clouds,0.0,0
48,Port Blair,IN,11.67,92.75,80.28,78,90,5.73,overcast clouds,0.0,0
49,Cape Town,ZA,-33.93,18.42,57.2,47,82,3.36,broken clouds,0.0,0
50,Bluff,NZ,-46.6,168.33,39.0,83,69,3.0,broken clouds,0.0,0
51,Tuktoyaktuk,CA,69.45,-133.04,37.4,93,90,5.82,overcast clouds,0.0,0
52,Santa Rosa,PH,14.31,121.11,81.0,80,59,3.8,broken clouds,0.0,0
53,Avarua,CK,-21.21,-159.78,75.2,69,49,16.11,scattered clouds,0.0,0
54,Oktyabrskoye,RU,43.06,44.74,71.6,94,100,4.47,overcast clouds,0.0,0
55,Pran Buri,TH,12.38,99.91,77.92,86,100,5.08,overcast clouds,0.0,0
56,Kyzyl-Suu,KG,42.34,78.0,61.38,43,95,4.63,overcast clouds,0.0,0
57,Vaini,TO,-21.2,-175.2,73.4,88,75,3.36,broken clouds,0.0,0
58,Mahibadhoo,MV,3.78,72.97,83.48,71,58,5.91,broken clouds,0.0,0
59,Port Alfred,ZA,-33.59,26.89,68.14,40,0,14.07,clear sky,0.0,0
60,Klyuchi,RU,52.27,79.17,63.45,85,12,6.53,few clouds,0.0,0
61,Kibray,UZ,41.39,69.46,78.8,44,0,6.93,smoke,0.0,0
62,Constitucion,CL,-35.33,-72.42,51.33,65,62,6.38,broken clouds,0.0,0
