,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Yellowknife,CA,64.4,scattered clouds,62.46,-114.35,The Explorer Hotel
2,College,US,57.99,overcast clouds,64.86,-147.8,Pike's Waterfront Lodge
3,Bulawayo,ZW,55.13,scattered clouds,-20.15,28.58,4 On Housman Backpackers
6,Katsuura,JP,75.2,mist,35.13,140.3,Katsuura Hotel Mikazuki
10,Puerto Ayora,EC,71.01,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
12,Werder,DE,61.0,overcast clouds,52.38,12.93,Landhotel Potsdam
15,Castro,BR,57.97,overcast clouds,-24.79,-50.01,CHACARA BAILLY
17,Mairana,BO,56.3,broken clouds,-18.12,-63.93,Mi Terruño
18,Oriximina,BR,85.06,broken clouds,-1.77,-55.87,Pousada Tia Amélia
20,Atuona,PF,79.54,clear sky,-9.8,-139.03,Villa Enata
21,Kodiak,US,60.8,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
26,Antofagasta,CL,60.8,clear sky,-23.65,-70.4,Hotel Terrado Suites Antofagasta
27,Kapaa,US,82.4,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
28,Saskylakh,RU,55.44,scattered clouds,71.92,114.08,
29,Palmer,US,82.4,broken clouds,42.16,-72.33,Wedgewood Motel
31,Rikitea,PF,67.71,few clouds,-23.12,-134.97,Pension Maro'i
33,Mahebourg,MU,71.6,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
35,Kitimat,CA,62.6,overcast clouds,54.05,-128.65,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
37,Sinnamary,GF,80.15,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
38,Santa Lucia,ES,82.4,clear sky,27.91,-15.54,Hotel Viverde Las Tirajanas
39,Lagoa,PT,68.97,overcast clouds,39.05,-27.98,Casa Das Faias
41,Ribeira Grande,PT,69.8,broken clouds,38.52,-28.7,Quinta da Meia Eira
43,Gat,IL,80.01,clear sky,31.61,34.76,רגע בנחת
44,Butaritari,KI,83.12,clear sky,3.07,172.79,Isles Sunset Lodge
45,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
48,Port Blair,IN,80.28,overcast clouds,11.67,92.75,Hotel Sentinel
49,Cape Town,ZA,57.2,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
52,Santa Rosa,PH,81.0,broken clouds,14.31,121.11,Amethyst Econotel
53,Avarua,CK,75.2,scattered clouds,-21.21,-159.78,Paradise Inn
54,Oktyabrskoye,RU,71.6,overcast clouds,43.06,44.74,Prolesok Mini-hotel
55,Pran Buri,TH,77.92,overcast clouds,12.38,99.91,Waterside Resort
56,Kyzyl-Suu,KG,61.38,overcast clouds,42.34,78.0,Gostinitsa Nur-Ordo
57,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
58,Mahibadhoo,MV,83.48,broken clouds,3.78,72.97,Omadhoo Inn
59,Port Alfred,ZA,68.14,clear sky,-33.59,26.89,The Halyards Hotel
60,Klyuchi,RU,63.45,few clouds,52.27,79.17,Vesolaya Mayovka
61,Kibray,UZ,78.8,smoke,41.39,69.46,Umid Gulshani Sanatorium
64,Barcelos,PT,70.0,scattered clouds,41.54,-8.62,Hotel Do Terço
65,Hovd,MN,58.95,overcast clouds,48.01,91.64,Hotel Khovd
66,Aquiraz,BR,82.4,few clouds,-3.9,-38.39,Hotel Laguna Blu
67,Hobyo,SO,78.94,overcast clouds,5.35,48.53,Osmani Hotel
68,Beringovskiy,RU,56.88,clear sky,63.05,179.32,Beringgorski
69,Lata,PT,69.01,clear sky,40.16,-8.33,Casa Maquia
