City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2020-07-07 19:37:32,-38.0,-57.56,46.99,61,75,8.05
1,Tiksi,RU,2020-07-07 19:37:32,71.69,128.87,34.07,95,100,6.26
2,Saskylakh,RU,2020-07-07 19:37:32,71.92,114.08,46.74,76,35,8.5
3,Yulara,AU,2020-07-07 19:37:32,-25.24,130.99,35.6,64,0,5.82
4,Buala,SB,2020-07-07 19:37:32,-8.14,159.59,80.28,82,37,7.83
5,Cape Town,ZA,2020-07-07 19:37:33,-33.93,18.42,55.0,76,0,6.93
6,Mayo,US,2020-07-07 19:37:33,38.89,-76.51,86.0,78,20,6.93
7,Rikitea,PF,2020-07-07 19:37:33,-23.12,-134.97,70.25,81,83,13.22
8,Port Alfred,ZA,2020-07-07 19:37:33,-33.59,26.89,55.99,79,100,3.0
9,Muros,ES,2020-07-07 19:37:33,42.78,-9.06,80.01,59,0,10.0
10,Thompson,CA,2020-07-07 19:37:33,55.74,-97.86,75.2,36,40,16.11
11,Ola,RU,2020-07-07 19:37:34,59.58,151.28,52.21,72,100,2.75
12,Port Blair,IN,2020-07-07 19:37:34,11.67,92.75,81.19,81,100,7.2
13,Anadyr,RU,2020-07-07 19:37:34,64.75,177.48,48.2,100,75,4.47
14,Ushuaia,AR,2020-07-07 19:36:01,-54.8,-68.3,41.0,56,40,13.87
15,Hilo,US,2020-07-07 19:37:34,19.73,-155.09,78.8,74,90,4.7
16,Vila Velha,BR,2020-07-07 19:37:34,-20.33,-40.29,78.8,65,20,10.29
17,Hermanus,ZA,2020-07-07 19:37:35,-34.42,19.23,45.0,89,0,8.12
18,Vila,PT,2020-07-07 19:37:35,42.03,-8.16,82.99,57,0,3.36
19,Ardesen,TR,2020-07-07 19:37:35,41.19,40.99,80.6,83,40,8.05
20,Puerto Colombia,CO,2020-07-07 19:36:39,10.99,-74.95,86.0,79,40,12.75
21,Nyurba,RU,2020-07-07 19:37:35,63.28,118.33,48.92,75,0,5.08
22,Fukue,JP,2020-07-07 19:37:36,32.69,128.84,74.55,91,75,4.03
23,Vila Franca Do Campo,PT,2020-07-07 19:37:36,37.72,-25.43,69.8,73,20,13.87
24,Hofn,IS,2020-07-07 19:37:36,64.25,-15.21,51.96,80,0,7.11
25,Shu,KZ,2020-07-07 19:37:36,43.6,73.76,69.76,43,0,6.53
26,Qaanaaq,GL,2020-07-07 19:37:36,77.48,-69.36,47.43,54,0,1.45
27,Carnarvon,AU,2020-07-07 19:37:37,-24.87,113.63,59.0,82,0,12.75
28,Port-Gentil,GA,2020-07-07 19:37:37,-0.72,8.78,77.0,88,20,9.17
29,Kapaa,US,2020-07-07 19:37:37,22.08,-159.32,82.4,69,20,13.87
30,Georgetown,MY,2020-07-07 19:37:37,5.41,100.34,77.0,100,40,4.7
31,Mahebourg,MU,2020-07-07 19:37:37,-20.41,57.7,71.6,94,75,8.05
32,Albany,US,2020-07-07 19:37:06,42.6,-73.97,84.0,55,3,1.01
33,Adre,TD,2020-07-07 19:37:37,13.47,22.2,83.19,44,100,9.46
34,Hasaki,JP,2020-07-07 19:37:38,35.73,140.83,80.6,83,75,14.99
35,Busselton,AU,2020-07-07 19:35:34,-33.65,115.33,46.0,98,9,8.46
36,Provideniya,RU,2020-07-07 19:37:38,64.38,-173.3,44.6,93,90,6.71
37,Laminusa,PH,2020-07-07 19:37:39,5.55,120.91,82.22,72,59,0.89
38,Kieta,PG,2020-07-07 19:37:39,-6.22,155.63,78.78,77,24,2.75
39,Souillac,MU,2020-07-07 19:37:39,-20.52,57.52,71.6,94,75,8.05
40,Alghero,IT,2020-07-07 19:37:39,40.56,8.32,71.6,83,0,2.24
41,Tabou,CI,2020-07-07 19:37:39,4.42,-7.35,75.96,85,100,9.69
42,Lebu,CL,2020-07-07 19:37:39,-37.62,-73.65,49.17,90,100,26.06
43,Hobart,AU,2020-07-07 19:33:44,-42.88,147.33,35.01,85,47,9.17
44,Avera,US,2020-07-07 19:37:40,33.19,-82.53,82.4,94,90,4.7
45,Makakilo City,US,2020-07-07 19:37:40,21.35,-158.09,82.4,61,40,8.05
46,Atuona,PF,2020-07-07 19:37:40,-9.8,-139.03,79.18,76,37,12.95
47,Tsnori,GE,2020-07-07 19:37:40,41.62,45.97,82.4,30,0,13.87
48,Birobidzhan,RU,2020-07-07 19:37:40,48.8,132.95,61.18,97,100,5.64
49,Iquique,CL,2020-07-07 19:33:08,-20.22,-70.14,64.4,68,5,18.34
50,West Bay,KY,2020-07-07 19:37:41,19.37,-81.42,89.6,75,40,6.93
51,Vaini,TO,2020-07-07 19:37:41,-21.2,-175.2,75.2,100,90,5.82
52,Koslan,RU,2020-07-07 19:37:41,63.46,48.9,66.45,92,1,2.35
53,Filingue,NE,2020-07-07 19:37:41,14.35,3.32,100.9,21,84,2.73
54,Ancud,CL,2020-07-07 19:37:42,-41.87,-73.82,44.01,100,90,13.87
55,Vilhena,BR,2020-07-07 19:37:42,-12.74,-60.15,87.8,35,0,11.41
56,Torbay,CA,2020-07-07 19:36:57,47.67,-52.73,61.0,66,20,9.17
57,Misratah,LY,2020-07-07 19:37:42,32.38,15.09,74.37,81,0,10.45
58,Ustye,RU,2020-07-07 19:37:42,59.63,39.74,67.48,92,74,3.71
59,Upernavik,GL,2020-07-07 19:37:43,72.79,-56.15,45.32,65,0,9.84
60,Punta Arenas,CL,2020-07-07 19:35:45,-53.15,-70.92,33.8,80,75,12.75
61,Smolenskoye,RU,2020-07-07 19:37:43,52.3,85.08,61.32,94,100,6.13
62,Jamestown,US,2020-07-07 19:36:25,42.1,-79.24,82.0,69,90,17.22
63,Meulaboh,ID,2020-07-07 19:37:43,4.14,96.13,75.78,92,100,4.03
64,Barrow,US,2020-07-07 19:37:43,71.29,-156.79,39.2,86,1,16.11
65,Avarua,CK,2020-07-07 19:34:36,-21.21,-159.78,73.4,73,35,16.11
66,Darhan,MN,2020-07-07 19:37:44,49.49,105.92,63.07,87,1,2.95
67,Voi,KE,2020-07-07 19:37:44,-3.39,38.56,68.99,82,99,10.36
68,Mataura,NZ,2020-07-07 19:37:44,-46.19,168.86,39.0,83,92,3.0
69,Kostomuksha,RU,2020-07-07 19:37:44,64.57,30.58,54.91,81,100,6.6
70,Kaeo,NZ,2020-07-07 19:37:45,-35.1,173.78,48.99,3,11,4.0
71,Kingaroy,AU,2020-07-07 19:37:45,-26.53,151.83,48.0,100,90,5.97
72,Bilibino,RU,2020-07-07 19:37:45,68.05,166.44,59.92,49,45,4.47
73,Ranong,TH,2020-07-07 19:37:45,9.97,98.63,76.55,81,100,2.8
74,Bethel,US,2020-07-07 19:37:18,41.37,-73.41,72.0,83,90,11.41
75,Noumea,NC,2020-07-07 19:37:33,-22.28,166.46,68.0,88,75,4.7
76,Kaitangata,NZ,2020-07-07 19:37:45,-46.28,169.85,39.99,76,84,1.99
77,Nishihara,JP,2020-07-07 19:37:45,26.18,127.76,82.4,94,75,12.75
78,Ambon,ID,2020-07-07 19:37:19,-3.7,128.18,78.15,86,100,12.86
79,New Norfolk,AU,2020-07-07 19:37:46,-42.78,147.06,34.0,91,57,2.42
80,Rio Claro,BR,2020-07-07 19:37:46,-22.41,-47.56,73.27,54,0,6.85
81,Westlock,CA,2020-07-07 19:37:46,54.15,-113.87,66.0,87,75,3.36
82,Maldonado,UY,2020-07-07 19:37:46,-34.67,-54.92,52.0,71,75,16.11
83,Nikolskoye,RU,2020-07-07 19:37:46,59.7,30.79,64.99,77,100,4.47
84,Maniitsoq,GL,2020-07-07 19:37:47,65.42,-52.9,39.29,94,99,8.23
85,Goshogawara,JP,2020-07-07 19:37:47,40.8,140.44,71.01,96,100,4.68
86,Port Elizabeth,ZA,2020-07-07 19:37:47,-33.92,25.57,55.4,71,16,10.29
87,Kruisfontein,ZA,2020-07-07 19:37:47,-34.0,24.73,47.21,80,0,3.91
88,Aklavik,CA,2020-07-07 19:37:47,68.22,-135.01,55.4,58,75,3.36
89,Grajewo,PL,2020-07-07 19:37:47,53.65,22.46,50.7,90,5,6.46
90,Bredasdorp,ZA,2020-07-07 19:34:06,-34.53,20.04,48.2,81,0,2.24
91,Ilam,NP,2020-07-07 19:37:48,26.92,87.92,68.67,88,72,3.27
92,Hami,CN,2020-07-07 19:37:48,42.8,93.45,74.89,37,0,4.18
93,Baruun-Urt,MN,2020-07-07 19:37:48,46.68,113.28,70.27,34,86,8.19
94,Cockburn Town,TC,2020-07-07 19:37:48,21.46,-71.14,87.8,70,40,13.87
95,Mayumba,GA,2020-07-07 19:37:48,-3.43,10.66,72.05,90,19,6.04
96,Saint-Augustin,CA,2020-07-07 19:37:48,51.23,-58.65,68.88,56,99,16.69
97,Poso,ID,2020-07-07 19:37:49,-1.4,120.75,77.32,73,80,5.17
98,Dwarka,IN,2020-07-07 19:35:51,22.24,68.97,81.14,89,100,18.19
99,Broken Hill,AU,2020-07-07 19:37:49,-31.95,141.43,39.2,80,0,4.7
100,Gat,IL,2020-07-07 19:37:49,31.61,34.76,80.01,69,0,5.32
101,Khatanga,RU,2020-07-07 19:37:49,71.97,102.5,49.12,73,64,16.53
102,Jalu,LY,2020-07-07 19:37:49,29.03,21.55,79.95,48,0,15.05
103,Methoni,GR,2020-07-07 19:37:49,36.82,21.7,77.0,94,20,6.96
104,Mount Gambier,AU,2020-07-07 19:37:50,-37.83,140.77,35.6,100,75,8.05
105,Tonstad,NO,2020-07-07 19:37:50,58.66,6.72,52.0,77,0,3.0
106,Severo-Kurilsk,RU,2020-07-07 19:37:50,50.68,156.12,51.89,88,10,13.49
107,Lagoa,PT,2020-07-07 19:37:50,39.05,-27.98,69.84,85,0,6.73
108,Waddan,LY,2020-07-07 19:37:50,29.16,16.14,80.37,37,0,16.11
109,Barlad,RO,2020-07-07 19:37:50,46.23,27.67,59.0,82,75,21.92
110,Harrismith,ZA,2020-07-07 19:37:50,-28.27,29.13,45.45,86,93,14.32
111,Ballina,AU,2020-07-07 19:37:51,-28.87,153.57,50.0,87,63,5.82
112,Simao,CN,2020-07-07 19:37:51,22.79,100.97,66.67,96,100,2.17
113,Chuy,UY,2020-07-07 19:37:51,-33.7,-53.46,51.49,71,95,7.85
114,Sukhumi,GE,2020-07-07 19:37:51,43.0,41.02,77.83,72,88,6.04
115,Ilhabela,BR,2020-07-07 19:34:51,-23.78,-45.36,71.62,82,0,7.61
116,Butaritari,KI,2020-07-07 19:37:52,3.07,172.79,83.12,75,19,12.73
117,Sao Filipe,CV,2020-07-07 19:37:52,14.9,-24.5,74.95,83,6,5.61
118,Carballo,ES,2020-07-07 19:37:52,43.21,-8.69,75.2,57,0,6.93
119,Popondetta,PG,2020-07-07 19:37:52,-8.75,148.25,70.77,91,77,2.73
120,Sangar,RU,2020-07-07 19:37:52,63.92,127.47,54.09,62,32,0.6
121,Norman Wells,CA,2020-07-07 19:37:52,65.28,-126.83,57.2,67,75,11.41
122,Dubai,AE,2020-07-07 19:33:01,25.26,55.3,95.0,53,0,3.36
123,Sunrise Manor,US,2020-07-07 19:37:53,36.21,-115.07,102.99,4,1,16.11
124,Havre-Saint-Pierre,CA,2020-07-07 19:37:53,50.23,-63.6,68.0,68,1,10.29
125,Monroe,US,2020-07-07 19:37:53,43.15,-77.68,93.2,34,20,6.93
126,Barahona,DO,2020-07-07 19:37:53,18.21,-71.1,95.0,56,40,13.87
127,Yellowknife,CA,2020-07-07 19:35:01,62.46,-114.35,59.0,62,75,14.99
128,Lorengau,PG,2020-07-07 19:37:53,-2.02,147.27,81.46,81,37,11.48
129,Brigham City,US,2020-07-07 19:37:54,41.51,-112.02,84.2,12,1,5.82
130,San Carlos,VE,2020-07-07 19:37:54,9.66,-68.58,75.09,91,96,0.78
131,Saint George,US,2020-07-07 19:37:54,37.1,-113.58,102.0,6,1,12.75
132,Caravelas,BR,2020-07-07 19:37:54,-17.71,-39.25,73.47,75,0,5.99
133,Hobyo,SO,2020-07-07 19:37:54,5.35,48.53,79.16,75,2,25.72
134,Paamiut,GL,2020-07-07 19:37:54,61.99,-49.67,40.62,92,91,4.7
135,Tarrafal,CV,2020-07-07 19:37:55,15.28,-23.77,80.6,78,75,11.41
136,Arraial Do Cabo,BR,2020-07-07 19:37:55,-22.97,-42.03,75.2,73,0,13.87
137,Bogotol,RU,2020-07-07 19:37:55,56.21,89.53,55.31,90,7,5.84
138,Tasiilaq,GL,2020-07-07 19:37:55,65.61,-37.64,44.6,70,40,9.17
139,Vao,NC,2020-07-07 19:37:55,-22.67,167.48,68.41,68,6,15.35
140,Pacific Grove,US,2020-07-07 19:36:50,36.62,-121.92,66.0,63,20,11.41
141,Bathsheba,BB,2020-07-07 19:37:56,13.22,-59.52,87.8,66,40,11.41
142,Cedar City,US,2020-07-07 19:36:03,37.68,-113.06,87.8,5,1,23.04
143,Barcelos,PT,2020-07-07 19:37:56,41.54,-8.62,84.0,82,0,4.7
144,Cabedelo,BR,2020-07-07 19:37:56,-6.98,-34.83,80.6,74,40,13.87
145,Bereda,ES,2020-07-07 19:37:56,43.27,-7.54,64.99,86,9,11.01
146,Yambio,SS,2020-07-07 19:37:57,4.57,28.4,67.41,96,66,1.32
147,Saint Anthony,US,2020-07-07 19:37:57,45.02,-93.22,87.01,61,40,5.82
148,Kirakira,SB,2020-07-07 19:37:57,-10.45,161.92,79.39,84,96,10.2
149,Sawtell,AU,2020-07-07 19:37:57,-30.38,153.1,53.6,76,90,8.05
150,Marsaxlokk,MT,2020-07-07 19:37:57,35.84,14.54,73.99,83,0,11.41
151,Mahanoro,MG,2020-07-07 19:37:58,-19.9,48.8,64.72,81,4,6.11
152,Dikson,RU,2020-07-07 19:37:58,73.51,80.55,48.6,70,1,16.11
153,Leh,IN,2020-07-07 19:37:58,34.17,77.58,61.39,32,5,5.14
154,Clyde River,CA,2020-07-07 19:37:58,70.47,-68.59,39.2,93,90,12.75
155,Inirida,CO,2020-07-07 19:37:58,3.87,-67.92,82.8,81,93,2.39
156,Paita,PE,2020-07-07 19:37:58,-5.09,-81.11,78.8,94,4,18.34
157,Isiolo,KE,2020-07-07 19:37:58,0.35,37.58,71.56,58,96,17.78
158,Cayenne,GF,2020-07-07 19:37:59,4.93,-52.33,89.6,55,4,8.05
159,Oussouye,SN,2020-07-07 19:37:59,12.48,-16.55,86.0,79,40,4.7
160,Puerto Ayora,EC,2020-07-07 19:37:59,-0.74,-90.35,72.0,86,84,5.99
161,San Quintin,MX,2020-07-07 19:37:59,30.48,-115.95,76.42,57,1,14.76
162,Wajid,SO,2020-07-07 19:38:00,3.81,43.25,78.94,58,91,18.23
163,Humberto De Campos,BR,2020-07-07 19:38:00,-2.6,-43.46,80.08,87,58,3.22
164,Magway,MM,2020-07-07 19:38:00,20.15,94.92,81.12,78,98,6.73
165,Golden,US,2020-07-07 19:35:43,39.76,-105.22,95.0,12,75,16.11
166,Cartagena,CO,2020-07-07 19:36:23,10.4,-75.51,89.6,70,40,17.22
167,Dingle,PH,2020-07-07 19:38:00,11.0,122.67,77.34,89,85,6.17
168,Pangnirtung,CA,2020-07-07 19:38:01,66.15,-65.71,42.8,93,90,13.87
169,Katsuura,JP,2020-07-07 19:38:01,35.13,140.3,80.01,92,100,7.0
170,Adrar,MR,2020-07-07 19:38:01,20.5,-10.07,102.16,8,25,7.9
171,Cidreira,BR,2020-07-07 19:38:02,-30.18,-50.21,58.48,95,100,23.73
172,Usinsk,RU,2020-07-07 19:38:02,65.99,57.53,64.98,59,70,6.69
173,Nchelenge,ZM,2020-07-07 19:38:02,-9.35,28.73,64.71,49,0,5.5
174,Castro,BR,2020-07-07 19:38:02,-24.79,-50.01,65.79,74,50,8.7
175,Port Said,EG,2020-07-07 19:38:02,31.26,32.28,78.8,83,0,13.87
176,Flin Flon,CA,2020-07-07 19:38:03,54.77,-101.86,75.2,44,75,8.05
177,Samarai,PG,2020-07-07 19:38:03,-10.62,150.67,77.86,85,79,15.97
178,Valle De Allende,MX,2020-07-07 19:38:03,26.93,-105.4,86.4,30,76,4.05
179,Chokurdakh,RU,2020-07-07 19:38:03,70.63,147.92,38.66,92,100,10.33
180,Egvekinot,RU,2020-07-07 19:38:04,66.32,-179.17,41.49,99,100,3.78
181,Freeport,US,2020-07-07 19:34:27,40.66,-73.58,81.0,74,90,12.75
182,Tura,IN,2020-07-07 19:38:04,25.52,90.22,76.15,98,100,8.12
183,Allada,BJ,2020-07-07 19:38:04,6.67,2.15,78.8,88,40,13.87
184,Mount Isa,AU,2020-07-07 19:38:04,-20.73,139.5,57.2,30,100,8.05
185,Cabo San Lucas,MX,2020-07-07 19:38:04,22.89,-109.91,89.01,52,20,6.93
186,Shiyan,CN,2020-07-07 19:38:04,32.65,110.78,73.51,91,29,1.48
187,Talnakh,RU,2020-07-07 19:38:05,69.49,88.4,53.6,81,0,6.71
188,Namibe,AO,2020-07-07 19:38:05,-15.2,12.15,66.4,73,0,1.63
